# Historical OIS Rate Data - Sample
# Source: Sample data for demonstration
# Format: date,tenor,rate (decimal)
# Used for VaR calculations

date,3M,6M,1Y,2Y,3Y,5Y,7Y,10Y,20Y,30Y
2023-10-15,0.0530,0.0525,0.0510,0.0485,0.0465,0.0450,0.0445,0.0440,0.0448,0.0455
2023-10-16,0.0532,0.0527,0.0512,0.0488,0.0468,0.0452,0.0447,0.0442,0.0450,0.0458
2023-10-17,0.0528,0.0522,0.0508,0.0482,0.0462,0.0448,0.0443,0.0438,0.0446,0.0452
2023-10-18,0.0535,0.0530,0.0515,0.0490,0.0470,0.0455,0.0450,0.0445,0.0453,0.0460
2023-10-19,0.0538,0.0532,0.0518,0.0492,0.0472,0.0458,0.0452,0.0448,0.0455,0.0463
2023-10-20,0.0540,0.0535,0.0520,0.0495,0.0475,0.0460,0.0455,0.0450,0.0458,0.0465
2023-10-23,0.0542,0.0538,0.0522,0.0498,0.0478,0.0462,0.0457,0.0452,0.0460,0.0468
2023-10-24,0.0538,0.0532,0.0518,0.0492,0.0472,0.0455,0.0450,0.0445,0.0453,0.0460
2023-10-25,0.0535,0.0528,0.0512,0.0488,0.0468,0.0450,0.0445,0.0440,0.0448,0.0455
2023-10-26,0.0540,0.0535,0.0518,0.0495,0.0475,0.0458,0.0452,0.0448,0.0455,0.0463
2023-10-27,0.0545,0.0540,0.0525,0.0500,0.0480,0.0465,0.0458,0.0455,0.0462,0.0470
2023-10-30,0.0548,0.0542,0.0528,0.0502,0.0482,0.0468,0.0460,0.0458,0.0465,0.0472
2023-10-31,0.0545,0.0538,0.0522,0.0498,0.0478,0.0462,0.0455,0.0452,0.0460,0.0468
2023-11-01,0.0540,0.0532,0.0515,0.0490,0.0470,0.0455,0.0448,0.0445,0.0453,0.0460
2023-11-02,0.0535,0.0528,0.0510,0.0485,0.0465,0.0450,0.0445,0.0440,0.0448,0.0455
2023-11-03,0.0532,0.0525,0.0508,0.0482,0.0462,0.0445,0.0440,0.0435,0.0443,0.0450
2023-11-06,0.0530,0.0522,0.0505,0.0478,0.0458,0.0442,0.0438,0.0432,0.0440,0.0448
2023-11-07,0.0528,0.0520,0.0502,0.0475,0.0455,0.0440,0.0435,0.0430,0.0438,0.0445
2023-11-08,0.0530,0.0522,0.0505,0.0478,0.0458,0.0442,0.0437,0.0432,0.0440,0.0448
2023-11-09,0.0532,0.0525,0.0508,0.0480,0.0460,0.0445,0.0440,0.0435,0.0443,0.0450
2023-11-10,0.0535,0.0528,0.0510,0.0482,0.0462,0.0448,0.0442,0.0438,0.0445,0.0452
2023-11-13,0.0538,0.0530,0.0512,0.0485,0.0465,0.0450,0.0445,0.0440,0.0448,0.0455
2023-11-14,0.0535,0.0528,0.0510,0.0482,0.0462,0.0448,0.0442,0.0438,0.0445,0.0452
2023-11-15,0.0530,0.0522,0.0505,0.0478,0.0458,0.0445,0.0440,0.0435,0.0443,0.0450
2023-11-16,0.0528,0.0520,0.0502,0.0475,0.0455,0.0442,0.0437,0.0432,0.0440,0.0448
2023-11-17,0.0525,0.0518,0.0500,0.0472,0.0452,0.0438,0.0433,0.0428,0.0436,0.0445
2023-11-20,0.0522,0.0515,0.0498,0.0470,0.0450,0.0435,0.0430,0.0425,0.0433,0.0442
2023-11-21,0.0520,0.0512,0.0495,0.0468,0.0448,0.0432,0.0428,0.0422,0.0430,0.0440
2023-11-22,0.0518,0.0510,0.0492,0.0465,0.0445,0.0430,0.0425,0.0420,0.0428,0.0438
2023-11-24,0.0515,0.0508,0.0490,0.0462,0.0442,0.0428,0.0422,0.0418,0.0425,0.0435
2023-11-27,0.0518,0.0510,0.0492,0.0465,0.0445,0.0430,0.0425,0.0420,0.0428,0.0438
2023-11-28,0.0520,0.0512,0.0495,0.0468,0.0448,0.0432,0.0427,0.0422,0.0430,0.0440
2023-11-29,0.0522,0.0515,0.0498,0.0470,0.0450,0.0435,0.0430,0.0425,0.0433,0.0442
2023-11-30,0.0525,0.0518,0.0500,0.0472,0.0452,0.0438,0.0432,0.0428,0.0435,0.0445
2023-12-01,0.0528,0.0520,0.0502,0.0475,0.0455,0.0440,0.0435,0.0430,0.0438,0.0448
2023-12-04,0.0530,0.0522,0.0505,0.0478,0.0458,0.0442,0.0437,0.0432,0.0440,0.0450
2023-12-05,0.0528,0.0520,0.0502,0.0475,0.0455,0.0440,0.0435,0.0430,0.0438,0.0448
2023-12-06,0.0525,0.0518,0.0500,0.0472,0.0452,0.0438,0.0432,0.0428,0.0435,0.0445
2023-12-07,0.0528,0.0520,0.0502,0.0475,0.0455,0.0440,0.0435,0.0430,0.0438,0.0448
2023-12-08,0.0530,0.0522,0.0505,0.0478,0.0458,0.0442,0.0437,0.0432,0.0440,0.0450
2023-12-11,0.0532,0.0525,0.0508,0.0480,0.0460,0.0445,0.0440,0.0435,0.0443,0.0452
2023-12-12,0.0535,0.0528,0.0510,0.0482,0.0462,0.0448,0.0442,0.0438,0.0445,0.0455
2023-12-13,0.0532,0.0525,0.0508,0.0480,0.0460,0.0445,0.0440,0.0435,0.0443,0.0452
2023-12-14,0.0528,0.0520,0.0502,0.0475,0.0455,0.0440,0.0435,0.0430,0.0438,0.0448
2023-12-15,0.0525,0.0518,0.0500,0.0472,0.0452,0.0438,0.0432,0.0428,0.0435,0.0445
2023-12-18,0.0528,0.0520,0.0502,0.0475,0.0455,0.0440,0.0435,0.0430,0.0438,0.0448
2023-12-19,0.0530,0.0522,0.0505,0.0478,0.0458,0.0442,0.0437,0.0432,0.0440,0.0450
2023-12-20,0.0528,0.0520,0.0502,0.0475,0.0455,0.0440,0.0435,0.0430,0.0438,0.0448
2023-12-21,0.0530,0.0522,0.0505,0.0478,0.0458,0.0442,0.0437,0.0432,0.0440,0.0450
2023-12-22,0.0532,0.0525,0.0508,0.0480,0.0460,0.0445,0.0440,0.0435,0.0443,0.0452
2023-12-26,0.0530,0.0522,0.0505,0.0478,0.0458,0.0442,0.0437,0.0432,0.0440,0.0450
2023-12-27,0.0528,0.0520,0.0502,0.0475,0.0455,0.0440,0.0435,0.0430,0.0438,0.0448
2023-12-28,0.0530,0.0522,0.0505,0.0478,0.0458,0.0442,0.0437,0.0432,0.0440,0.0450
2023-12-29,0.0532,0.0525,0.0508,0.0480,0.0460,0.0445,0.0440,0.0435,0.0443,0.0452
2024-01-02,0.0535,0.0528,0.0510,0.0482,0.0462,0.0448,0.0442,0.0438,0.0445,0.0455
2024-01-03,0.0538,0.0530,0.0512,0.0485,0.0465,0.0450,0.0445,0.0440,0.0448,0.0458
2024-01-04,0.0535,0.0528,0.0510,0.0482,0.0462,0.0448,0.0442,0.0438,0.0445,0.0455
2024-01-05,0.0532,0.0525,0.0508,0.0480,0.0460,0.0445,0.0440,0.0435,0.0443,0.0452
2024-01-08,0.0535,0.0528,0.0510,0.0482,0.0462,0.0448,0.0442,0.0438,0.0445,0.0455
2024-01-09,0.0538,0.0530,0.0512,0.0485,0.0465,0.0450,0.0445,0.0440,0.0448,0.0458
2024-01-10,0.0535,0.0528,0.0510,0.0482,0.0462,0.0448,0.0442,0.0438,0.0445,0.0455
2024-01-11,0.0532,0.0525,0.0508,0.0480,0.0460,0.0445,0.0440,0.0435,0.0443,0.0452
2024-01-12,0.0535,0.0528,0.0510,0.0482,0.0462,0.0448,0.0442,0.0438,0.0445,0.0455
